

#############    Traffic = uniform_random      Network = 4x4                    ################

Inject_rate                   Energy                        Latency                       Deflect_rate                  Throughput                    

BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  
0.52      0.66      0.55      3356.96   1694.23   0.0       35.76     21.51     28.68     32.27     22.22     30.63     8.03      12.14     0.0       
0.52      0.66      0.56      3401.35   1712.51   0.0       36.17     21.76     28.89     32.33     22.435    30.76     8.03      12.15     0.0       
0.52      0.65      0.56      3444.10   1729.32   0.0       36.45     21.94     29.02     32.31     22.59     30.62     8.03      12.14     0.0       
0.52      0.65      0.55      3453.59   1743.09   0.0       36.66     22.08     29.30     32.49     22.71     30.87     8.04      12.17     0.0       
0.52      0.66      0.55      3494.95   1768.33   0.0       36.93     22.36     29.38     32.48     22.865    30.61     8.04      12.17     0.0       
0.52      0.66      0.55      3537.32   1793.92   0.0       37.26     22.64     29.41     32.46     22.935    30.59     8.03      12.15     0.0       
0.52      0.66      0.56      3578.20   1804.17   0.0       37.79     22.67     29.80     32.59     23.02     30.75     8.04      12.19     0.0       
0.52      0.66      0.56      3585.57   1824.77   0.0       37.74     22.89     30.14     32.52     23.095    30.96     8.03      12.19     0.0       
0.52      0.66      0.57      3640.55   1833.08   0.0       38.27     22.78     30.29     32.63     22.985    30.95     8.03      12.20     0.0       
0.52      0.66      0.56      3655.46   1857.25   0.0       38.28     23.12     30.25     32.56     23.265    30.86     8.03      12.21     0.0       
0.52      0.66      0.56      3718.70   1871.13   0.0       38.85     23.19     30.38     32.7      23.19     30.79     8.03      12.21     0.0       
0.52      0.66      0.56      3739.37   1888.49   0.0       39.00     23.37     30.66     32.59     23.36     30.88     8.03      12.24     0.0       
0.52      0.66      0.56      3768.59   1910.46   0.0       39.27     23.58     30.89     32.71     23.42     30.92     8.04      12.22     0.0       
0.52      0.66      0.56      3798.03   1936.16   0.0       39.53     23.86     31.11     32.78     23.54     31.00     8.04      12.22     0.0       
0.52      0.66      0.56      3835.22   1947.58   0.0       39.75     23.89     31.46     32.75     23.52     31.14     8.04      12.23     0.0       
0.52      0.66      0.56      3865.48   1961.84   0.0       39.97     24.14     31.49     32.69     23.695    31.14     8.03      12.25     0.0       
0.52      0.66      0.57      3903.42   1980.12   0.0       40.23     24.31     31.67     32.72     23.805    31.09     8.03      12.26     0.0       
0.52      0.67      0.56      3924.71   2013.61   0.0       40.23     24.47     31.68     32.66     23.715    31.03     8.03      12.25     0.0       
0.52      0.66      0.57      3972.29   2027.87   0.0       40.72     24.72     31.66     32.74     23.835    30.88     8.03      12.25     0.0       
0.52      0.66      0.57      4013.42   2030.28   0.0       40.89     24.64     31.98     32.67     23.845    31.10     8.03      12.26     0.0       
0.52      0.66      0.56      4025.50   2054.67   0.0       41.26     24.85     32.34     32.88     24.01     31.23     8.04      12.28     0.0       
0.52      0.66      0.56      4056.42   2074.33   0.0       41.23     25.03     32.47     32.73     24.065    31.14     8.03      12.26     0.0       
0.52      0.67      0.55      4079.88   2098.54   0.0       41.45     25.24     32.81     32.78     24.11     31.41     8.04      12.27     0.0       
0.52      0.67      0.57      4126.06   2123.11   0.0       41.71     25.52     32.72     32.77     24.23     31.18     8.03      12.27     0.0       
0.52      0.66      0.57      4174.12   2130.55   0.0       42.15     25.60     32.72     32.89     24.175    31.04     8.03      12.27     0.0       
0.52      0.67      0.56      4204.64   2165.43   0.0       42.35     25.82     33.11     32.85     24.255    31.32     8.03      12.26     0.0       
0.52      0.67      0.58      4229.92   2164.77   0.0       42.60     25.74     33.10     32.91     24.285    31.11     8.04      12.28     0.0       
0.52      0.67      0.57      4276.21   2197.27   0.0       42.97     26.07     33.13     32.89     24.35     31.29     8.03      12.28     0.0       
0.52      0.66      0.57      4296.52   2208.09   0.0       43.07     26.16     33.24     32.84     24.39     31.12     8.02      12.28     0.0       
0.52      0.67      0.57      4354.76   2230.38   0.0       43.58     26.21     33.49     32.99     24.37     31.16     8.04      12.26     0.0       
0.52      0.67      0.57      4393.45   2246.93   0.0       43.33     26.37     33.69     32.86     24.31     31.28     8.03      12.27     0.0       
0.52      0.66      0.57      4420.86   2263.82   0.0       43.78     26.57     33.86     32.83     24.32     31.25     8.02      12.26     0.0       
0.52      0.67      0.58      4453.03   2287.53   0.0       43.92     26.81     33.75     32.97     24.525    31.09     8.02      12.28     0.0       
0.52      0.67      0.57      4480.44   2313.21   0.0       44.08     26.97     34.24     32.97     24.505    31.32     8.03      12.27     0.0       
0.52      0.67      0.57      4498.29   2315.74   0.0       44.37     26.82     34.28     32.97     24.43     31.36     8.03      12.28     0.0       
0.52      0.67      0.57      4561.35   2350.48   0.0       44.58     27.06     34.36     32.95     24.58     31.27     8.02      12.28     0.0       
0.52      0.67      0.57      4586.00   2370.09   0.0       44.83     27.23     34.51     32.88     24.61     31.36     8.01      12.28     0.0       
0.51      0.67      0.57      4581.14   2382.73   0.0       44.72     27.44     34.72     32.87     24.725    31.27     8.01      12.29     0.0       
0.52      0.67      0.57      4654.38   2402.63   0.0       45.35     27.47     35.18     33.01     24.59     31.53     8.02      12.27     0.0       
0.52      0.67      0.57      4670.77   2422.91   0.0       45.52     27.42     34.96     33.01     24.585    31.43     8.03      12.26     0.0       
0.52      0.67      0.57      4731.82   2441.92   0.0       45.95     27.82     35.02     32.96     24.765    31.34     8.02      12.29     0.0       
0.52      0.67      0.57      4782.16   2468.77   0.0       46.04     28.11     35.42     32.99     24.89     31.52     8.01      12.28     0.0       
0.52      0.67      0.57      4789.29   2478.01   0.0       46.27     28.27     35.38     33.04     24.925    31.36     8.02      12.31     0.0       
0.52      0.67      0.58      4854.38   2500.88   0.0       46.54     28.23     35.20     32.98     24.855    31.22     8.01      12.28     0.0       
0.52      0.67      0.58      4875.02   2534.99   0.0       46.77     28.65     35.79     33.11     25.055    31.55     8.02      12.31     0.0       
0.52      0.67      0.59      4893.69   2538.77   0.0       46.68     28.59     35.47     32.98     24.895    31.18     8.01      12.29     0.0       
0.52      0.68      0.59      4954.69   2587.53   0.0       46.77     28.78     35.44     32.95     24.855    31.09     8.01      12.26     0.0       
0.52      0.67      0.56      4980.73   2587.83   0.0       47.43     28.75     36.08     33.11     24.89     31.48     8.02      12.25     0.0       
0.87      0.67      0.58      7614.57   2609.81   0.0       44.33     29.01     36.31     33.05     25.04     31.45     7.91      12.28     0.0       
0.52      0.67      0.57      5034.85   2632.24   0.0       47.64     29.08     36.50     33.1      24.945    31.50     8.02      12.27     0.0       
0.52      0.67      0.57      5075.22   2657.47   0.0       47.81     29.32     36.50     33.07     25.035    31.43     8.01      12.27     0.0       
0.52      0.67      0.57      5127.84   2664.22   0.0       48.38     29.46     36.61     33.06     25.165    31.48     8.01      12.30     0.0       
0.52      0.68      0.58      5156.21   2717.94   0.0       48.48     29.57     36.62     33.04     25.08     31.38     8.01      12.26     0.0       
0.52      0.67      0.59      5191.47   2715.17   0.0       48.30     29.63     36.41     33.03     25.115    31.32     8.0       12.28     0.0       
0.52      0.67      0.57      5266.80   2724.39   0.0       48.70     29.62     37.01     33.07     25.115    31.48     8.0       12.28     0.0       
0.52      0.67      0.57      5247.31   2751.61   0.0       48.78     29.99     37.19     33.09     25.14     31.55     8.01      12.29     0.0       
0.52      0.68      0.58      5302.82   2789.94   0.0       49.04     29.97     37.12     33.11     25.085    31.42     8.01      12.25     0.0       
0.52      0.67      0.58      5342.85   2804.32   0.0       49.04     30.18     37.35     33.04     25.215    31.48     8.0       12.29     0.0       
0.52      0.67      0.57      5393.59   2812.36   0.0       49.23     30.25     37.56     33.01     25.19     31.61     8.0       12.29     0.0       
0.52      0.67      0.59      5412.46   2827.81   0.0       49.31     30.31     37.16     32.98     25.2      31.32     7.99      12.28     0.0       
0.52      0.68      0.59      5439.45   2884.74   0.0       49.47     30.61     37.11     33.04     25.235    31.16     8.0       12.26     0.0       
0.52      0.68      0.58      5544.56   2891.99   0.0       50.13     30.32     37.60     33.13     25.07     31.48     8.0       12.23     0.0       
0.52      0.67      0.58      5518.18   2890.96   0.0       50.17     30.69     38.03     33.11     25.21     31.54     8.01      12.26     0.0       
0.52      0.68      0.58      5548.00   2946.17   0.0       50.49     30.86     37.92     33.15     25.175    31.54     8.01      12.23     0.0       
0.52      0.68      0.59      5610.94   2959.49   0.0       50.53     30.98     37.90     33.12     25.215    31.47     8.0       12.26     0.0       
0.52      0.68      0.59      5628.17   2993.59   0.0       50.68     30.94     38.15     33.08     25.14     31.45     7.99      12.23     0.0       
0.52      0.67      0.58      5699.66   2991.08   0.0       50.95     31.12     38.40     33.05     25.295    31.43     7.99      12.26     0.0       
0.53      0.68      0.59      5763.33   3013.95   0.0       50.55     31.14     38.48     33.0      25.265    31.46     7.97      12.25     0.0       
0.51      0.68      0.58      5730.46   3050.11   0.0       51.17     31.31     38.46     33.15     25.28     31.39     7.99      12.23     0.0       
0.52      0.68      0.58      5827.68   3071.79   0.0       51.69     31.72     38.74     33.13     25.435    31.55     7.99      12.26     0.0       
0.52      0.68      0.59      5835.61   3093.38   0.0       51.66     31.72     38.60     33.1      25.37     31.32     7.99      12.26     0.0       
0.52      0.68      0.59      5880.78   3112.41   0.0       51.62     31.63     39.01     33.05     25.29     31.58     7.98      12.23     0.0       
0.52      0.67      0.59      5887.65   3109.01   0.0       51.84     31.97     38.42     33.09     25.485    31.33     7.99      12.28     0.0       
********* Based on 200 data points ************
MBNoC_NoBypass vs. MBNoC
Energy reduce by 0.00%
Latency reduce by -26.38%
Deflection rate reduce by -213.06%
Improve throughput by 0.00%
MBNoC_NoBypass vs. BLESS
Energy reduce by 0.00%
Latency reduce by 19.38%
Deflection rate reduce by 5.48%
Improve throughput by 0.00%
DONE :)
